name,position,points
Cam Newton,QB,24.318750000000005
Antonio Brown,WR,23.8875
Julio Jones,WR,23.068749999999998
Tom Brady,QB,21.543750000000003
Russell Wilson,QB,21.018749999999997
DeAndre Hopkins,WR,20.693749999999994
Odell Beckham Jr.,WR,21.28666666666667
Devonta Freeman,RB,21.093333333333337
Blake Bortles,QB,19.75625
Drew Brees,QB,20.286666666666665
Allen Robinson II,WR,19.000000000000004
Aaron Rodgers,QB,18.83125
Kirk Cousins,QB,18.34375
Matthew Stafford,QB,18.16875
Ryan Fitzpatrick,QB,17.81875
Philip Rivers,QB,17.762500000000003
Jameis Winston,QB,17.193749999999998
A.J. Green,WR,17.10625
Tyrod Taylor,QB,19.4
Derek Carr,QB,16.95625
Alex Smith,QB,16.9375
Jarvis Landry,WR,16.8375
Adrian Peterson,RB,16.29375
Ryan Tannehill,QB,16.137500000000003
Rob Gronkowski,TE,17.04
Brandin Cooks,WR,15.850000000000001
Andy Dalton,QB,18.784615384615385
Jordan Reed,TE,17.442857142857143
Matt Ryan,QB,14.618750000000002
Lamar Miller,RB,14.493750000000002
Michael Crabtree,WR,14.450000000000001
Jordan Matthews,WR,14.418750000000001
Ben Roethlisberger,QB,19.025000000000002
Greg Olsen,TE,14.2125
Allen Hurns,WR,15.006666666666664
Emmanuel Sanders,WR,14.960000000000003
Sammy Watkins,WR,16.830769230769228
Amari Cooper,WR,13.29375
T.Y. Hilton,WR,13.212499999999999
Marcus Mariota,QB,17.59166666666667
Mike Evans,WR,14.039999999999997
David Johnson,RB,13.1125
Golden Tate,WR,13.0875
John Brown,WR,13.833333333333336
Latavius Murray,RB,12.799999999999997
Mark Ingram II,RB,16.95
Randall Cobb,WR,12.681250000000002
Teddy Bridgewater,QB,12.524999999999999
Tavon Austin,WR,12.043750000000001
Travis Benjamin,WR,11.9875
Tyler Eifert,TE,14.730769230769228
Benjamin Watson,TE,11.906250000000002
Travis Kelce,TE,11.843750000000002
Willie Snead IV,WR,12.226666666666665
Giovani Bernard,RB,11.325
Theo Riddick,RB,11.1875
LeSean McCoy,RB,14.891666666666666
Kansas City Chiefs,DST,11.0
Marvin Jones Jr.,WR,10.868750000000002
Donte Moncrief,WR,10.831249999999999
Julian Edelman,WR,19.16666666666667
Stephen Gostkowski,K,10.6875
Zach Ertz,TE,11.353333333333332
Martavis Bryant,WR,15.47272727272727
Denver Broncos,DST,10.5
Carolina Panthers,DST,10.4375
Brian Hoyer,QB,15.145454545454545
Jason Witten,TE,10.268749999999999
Duke Johnson Jr.,RB,10.268749999999999
Graham Gano,K,10.1875
Arizona Cardinals,DST,10.125
Joe Flacco,QB,16.21
Keenan Allen,WR,20.1875
Richard Rodgers,TE,10.00625
Alshon Jeffery,WR,17.633333333333333
T.J. Yeldon,RB,12.991666666666669
Tyler Lockett,WR,9.587500000000002
Houston Texans,DST,9.375
Stefon Diggs,WR,11.484615384615383
Danny Amendola,WR,10.592857142857143
Robbie Gould,K,9.25
Seattle Seahawks,DST,9.25
Cairo Santos,K,9.13125
Stephen Hauschka,K,9.125
Justin Tucker,K,9.125
Pittsburgh Steelers,DST,8.8125
Brandon McManus,K,8.75
Cincinnati Bengals,DST,8.625
Jamison Crowder,WR,8.35
New England Patriots,DST,8.3125
Josh McCown,QB,16.5125
Los Angeles Rams,DST,8.25
Cole Beasley,WR,8.225000000000001
Dan Bailey,K,8.1875
Mike Nugent,K,8.1875
Eric Ebron,TE,9.335714285714289
Blaine Gabbert,QB,16.225
Kyle Rudolph,TE,8.03125
Chris Boswell,K,10.5
Josh Lambo,K,7.8125
Dustin Hopkins,K,8.333333333333334
Mason Crosby,K,7.75
Adam Vinatieri,K,7.6875
James White,RB,8.757142857142858
Minnesota Vikings,DST,7.625
Jason Myers,K,7.625
Indianapolis Colts,DST,7.5625
Jimmy Graham,TE,10.954545454545455
Dion Lewis,RB,17.17142857142857
Green Bay Packers,DST,7.4375
Philadelphia Eagles,DST,7.4375
Robert Woods,WR,8.442857142857145
Matt Prater,K,7.375
Ameer Abdullah,RB,7.3125
New York Jets,DST,7.25
Washington Commanders,DST,7.1875
Le'Veon Bell,RB,18.533333333333335
Melvin Gordon III,RB,7.735714285714286
Davante Adams,WR,8.176923076923078
Devin Funchess,WR,6.64375
Las Vegas Raiders,DST,6.625
DeSean Jackson,WR,11.644444444444444
Tampa Bay Buccaneers,DST,6.5
Dwayne Harris,WR,6.72
New York Giants,DST,6.25
Dontrelle Inman,WR,7.114285714285715
Buffalo Bills,DST,6.125
Kyle Juszczyk,RB,6.087499999999999
Detroit Lions,DST,6.0625
Greg Zuerlein,K,6.928571428571429
Nick Foles,QB,8.718181818181817
Albert Wilson,WR,6.764285714285715
Chris Hogan,WR,5.8500000000000005
DeVante Parker,WR,6.671428571428572
Atlanta Falcons,DST,5.8125
Chris Thompson,RB,7.1230769230769235
Baltimore Ravens,DST,5.75
Mohamed Sanu Sr.,WR,5.718750000000001
Jacksonville Jaguars,DST,5.625
Kenny Stills,WR,5.5625
Tennessee Titans,DST,5.5
Jared Cook,TE,5.4437500000000005
Randy Bullock,K,7.909090909090909
Miami Dolphins,DST,5.375
Jerick McKinnon,RB,5.2124999999999995
Los Angeles Chargers,DST,5.1875
Marshawn Lynch,RB,11.814285714285715
Carlos Hyde,RB,11.614285714285716
Vance McDonald,TE,5.757142857142858
Cleveland Browns,DST,5.0
Ryan Succop,K,5.0
Dallas Cowboys,DST,5.0
Vernon Davis,TE,5.166666666666667
Chicago Bears,DST,4.8125
New Orleans Saints,DST,4.5625
Darren Fells,TE,5.007142857142858
Cameron Brate,TE,4.985714285714287
Brandon Bolden,RB,4.646666666666666
San Francisco 49ers,DST,4.0625
Nick Folk,K,8.125
Maxx Williams,TE,4.628571428571428
Ryan Grant,WR,3.8625
Adam Humphries,WR,4.538461538461538
Ryan Griffin,TE,6.344444444444444
Nelson Agholor,WR,4.253846153846154
AJ McCarron,QB,7.9
Taylor Gabriel,WR,4.007692307692308
J.J. Nelson,WR,4.627272727272727
Phillip Dorsett II,WR,4.2
Damien Williams,RB,2.81875
Nick Williams,WR,3.207142857142857
Luke Willson,TE,3.1642857142857146
Case Keenum,QB,7.266666666666667
Chris Conley,WR,2.681250000000001
Jay Ajayi,RB,4.744444444444444
Tevin Coleman,RB,3.5500000000000003
Ty Montgomery II,RB,7.0
Justin Hardy,WR,4.488888888888889
Josh Hill,TE,2.5000000000000004
Marcedes Lewis,TE,2.4124999999999996
Derek Carrier,TE,3.091666666666667
Bennie Fowler III,WR,2.2687499999999994
Patrick DiMarco,RB,2.25
Virgil Green,TE,2.20625
Nick Boyle,TE,3.209090909090909
Adam Thielen,WR,2.20625
Blake Bell,TE,2.3999999999999995
Bruce Miller,TE,1.93125
Tyler Kroft,TE,1.86875
Taiwan Jones,RB,2.4166666666666665
Matt Schaub,QB,13.3
Jack Doyle,TE,1.5750000000000002
Lee Smith,TE,1.6666666666666665
Devin Smith,WR,2.45
Andre Roberts,WR,2.7222222222222223
Rex Burkhead,RB,1.4875
Jesse James,TE,2.7
Kenjon Barner,RB,2.16
Luke Stocker,TE,1.5071428571428573
Demetrius Harris,TE,1.275
Geno Smith,QB,20.0
MyCole Pruitt,TE,1.1812500000000001
Cody Parkey,K,5.666666666666667
Tyrell Williams,WR,2.4285714285714284
Mike Davis,RB,2.766666666666667
Michael Burton,RB,1.00625
James O'Shaughnessy,TE,2.1
Levine Toilolo,TE,0.8375
Daniel Brown,TE,2.0666666666666664
Colt McCoy,QB,4.4
Trey Burton,TE,0.525
Anthony Sherman,RB,0.46249999999999997
Malcolm Johnson,RB,0.4583333333333333
Matt LaCosse,TE,2.6
Paul Richardson Jr.,WR,5.0
Nick O'Leary,TE,1.175
Marquise Goodwin,WR,2.2
Darren Waller,TE,0.6333333333333334
DeAndrew White,WR,0.95
Roosevelt Nix,RB,0.24000000000000002
Malcolm Brown,RB,2.5
Cordarrelle Patterson,RB,0.15625
Rod Smith,RB,0.19090909090909092
C.J. Uzomah,TE,0.27999999999999997
Sean Mannion,QB,1.2
Geoff Swaim,TE,0.25
Matt Moore,QB,0.4
Kyle Nelson,TE,0.0
Clark Harris,TE,0.0
Beau Brinkley,TE,0.0
Matthew Slater,WR,0.0
Jonathan Brown,K,0.0
Keith Smith,RB,0.0
Chase Daniel,QB,0.0
Joe Webb III,QB,-0.00625
Trevor Siemian,QB,-0.1
Jimmy Garoppolo,QB,-0.06
Drew Stanton,QB,-0.15714285714285717
Raheem Mostert,RB,-0.18181818181818182
