name,position,points
Geronimo Allison,WR,4.42
Kenyan Drake,RB,2.71875
Marcedes Lewis,TE,4.29
Luke Willson,TE,3.627272727272727
Kevin White,WR,9.65
Bennie Fowler III,WR,2.884615384615384
Demetrius Harris,TE,2.33125
Cody Core,WR,4.625
Andre Roberts,WR,2.3
Peyton Barber,RB,2.4066666666666667
Jimmy Garoppolo,QB,6.0
Josh Hill,TE,3.988888888888889
Alex Collins,RB,3.2636363636363637
Josh Ferguson,RB,2.225
Darren Fells,TE,2.5285714285714285
Randy Bullock,K,7.0
Daniel Brown,TE,4.3
Jerell Adams,TE,2.630769230769231
Kenjon Barner,RB,2.6230769230769226
Darren Waller,TE,2.541666666666667
Jacoby Brissett,QB,9.433333333333334
Nick Foles,QB,9.333333333333334
Ameer Abdullah,RB,13.4
Stephen Anderson,TE,2.023076923076923
Tyler Higbee,TE,1.59375
Pharoh Cooper,WR,2.2600000000000002
Nick O'Leary,TE,1.4
Tyler Kroft,TE,1.3714285714285717
Andy Janovich,RB,1.6999999999999995
Patrick DiMarco,RB,1.1375000000000002
Kevin Hogan,QB,4.175
Ryan Grant,WR,1.0375
Tommylee Lewis,WR,1.3083333333333333
Mike Davis,RB,1.8125
Rashard Higgins,WR,0.8562500000000001
Chris Moore,WR,0.8999999999999999
Joshua Perkins,TE,1.6500000000000001
Alex Erickson,WR,0.81875
Geoff Swaim,TE,1.4333333333333333
Derek Watt,RB,0.79375
Blake Bell,TE,0.9615384615384616
Jonathan Williams,RB,1.1272727272727272
Keenan Allen,WR,12.3
Nick Williams,WR,5.45
Nick Boyle,TE,1.7333333333333334
Malcolm Brown,RB,0.5588235294117647
Drew Stanton,QB,1.8800000000000003
Adrian Peterson,RB,3.0
Mike Glennon,QB,4.5
Lee Smith,TE,2.225
Josh Doctson,WR,4.3
Geno Smith,QB,3.95
Malcolm Johnson,RB,1.0857142857142856
Taiwan Jones,RB,0.5769230769230769
Luke Stocker,TE,0.6083333333333334
Danny Vitale,RB,0.7444444444444446
Dwayne Harris,WR,0.39375000000000004
Nick Vannett,TE,0.6888888888888889
Troymaine Pope,RB,1.475
Keith Smith,RB,0.34375
Anthony Sherman,RB,0.31875
James Develin,RB,0.3
Mike Thomas,WR,0.31333333333333335
Ross Travis,TE,0.75
Alex Ellis,TE,0.6833333333333332
Brandon Bolden,RB,0.2785714285714286
J.D. McKissic,RB,3.8
D.J. Foster,RB,1.2
MyCole Pruitt,TE,0.825
Devin Smith,WR,0.75
Derek Carrier,TE,0.375
Damiere Byrd,WR,2.6
Laquon Treadwell,WR,0.2777777777777778
Roosevelt Nix,RB,0.25
Chris Manhertz,TE,0.2857142857142857
James O'Shaughnessy,TE,0.11875
Rod Smith,RB,0.19999999999999998
Joe Webb III,QB,0.09285714285714286
Tyler Ervin,RB,0.09166666666666663
Chase Daniel,QB,0.6
Raheem Mostert,RB,0.19999999999999998
Matt Schaub,QB,0.09999999999999999
Beau Brinkley,TE,0.0
Jonathan Brown,K,0.0
Temarrick Hemingway,TE,0.0
AJ McCarron,QB,0.0
Michael Burton,RB,0.0
Clark Harris,TE,0.0
Demarcus Robinson,WR,0.0
Maxx Williams,TE,0.0
Kyle Nelson,TE,0.0
Eric Tomlinson,TE,0.0
Chad Henne,QB,-0.2
Sean Mannion,QB,-1.3
Matthew Slater,WR,-0.11538461538461539
Brett Hundley,QB,-0.375
Jakeem Grant Sr.,WR,-0.11875
Kalif Raymond,WR,-0.5
