name,position,points
David Johnson,RB,25.487500000000004
Aaron Rodgers,QB,23.75
Matt Ryan,QB,21.71875
Drew Brees,QB,20.768749999999997
Ezekiel Elliott,RB,21.69333333333333
Le'Veon Bell,RB,26.45
Antonio Brown,WR,20.486666666666668
Mike Evans,WR,19.006249999999998
Kirk Cousins,QB,18.76875
LeSean McCoy,RB,19.886666666666667
Odell Beckham Jr.,WR,18.537499999999998
Dak Prescott,QB,17.943749999999998
Devonta Freeman,RB,17.75625
Matthew Stafford,QB,17.48125
T.Y. Hilton,WR,17.112499999999997
Blake Bortles,QB,16.943749999999998
Tyrod Taylor,QB,18.060000000000002
Russell Wilson,QB,16.88125
Derek Carr,QB,17.913333333333334
Andy Dalton,QB,16.287499999999998
Marcus Mariota,QB,17.326666666666668
Julio Jones,WR,18.564285714285717
Philip Rivers,QB,16.174999999999997
Tom Brady,QB,21.53333333333333
Jameis Winston,QB,16.012500000000003
Michael Thomas,WR,17.046666666666667
Cam Newton,QB,16.953333333333333
Ben Roethlisberger,QB,18.02142857142857
Melvin Gordon III,RB,19.27692307692308
Davante Adams,WR,15.41875
Brandin Cooks,WR,15.39375
Joe Flacco,QB,15.156249999999998
Mark Ingram II,RB,15.1375
Michael Crabtree,WR,14.956249999999999
Amari Cooper,WR,14.518749999999999
Jarvis Landry,WR,14.45625
Julian Edelman,WR,14.39375
Jordan Howard,RB,15.340000000000002
Alex Smith,QB,14.993333333333332
Golden Tate,WR,13.94375
Travis Kelce,TE,13.9375
Tyrell Williams,WR,13.55625
Jay Ajayi,RB,14.353333333333333
Carson Wentz,QB,13.374999999999998
Emmanuel Sanders,WR,13.287499999999998
Kyle Rudolph,TE,13.0625
Latavius Murray,RB,14.87142857142857
Greg Olsen,TE,12.956249999999999
Allen Robinson II,WR,12.456249999999999
Tyreek Hill,WR,12.4375
DeAndre Hopkins,WR,12.337500000000002
Adam Thielen,WR,12.2
Stefon Diggs,WR,14.86923076923077
Carlos Hyde,RB,14.77692307692308
Trevor Siemian,QB,13.685714285714285
Jamison Crowder,WR,11.96875
Willie Snead IV,WR,12.766666666666664
Tevin Coleman,RB,14.700000000000001
Lamar Miller,RB,13.65
Ryan Tannehill,QB,14.638461538461542
Jimmy Graham,TE,11.83125
Cole Beasley,WR,11.8125
A.J. Green,WR,18.64
Sterling Shepard,WR,11.525
Zach Ertz,TE,13.114285714285714
DeSean Jackson,WR,12.033333333333333
Justin Tucker,K,10.9375
Marvin Jones Jr.,WR,11.486666666666666
Jordan Matthews,WR,12.242857142857142
Cameron Brate,TE,11.4
Jordan Reed,TE,14.049999999999999
Kenny Stills,WR,10.537499999999998
Dontrelle Inman,WR,10.1875
Theo Riddick,RB,16.18
James White,RB,10.106250000000001
DeVante Parker,WR,10.293333333333335
Jason Witten,TE,9.518749999999999
Denver Broncos,DST,9.5
Dustin Hopkins,K,9.4375
Adam Vinatieri,K,9.3125
Mohamed Sanu Sr.,WR,9.92
Jerick McKinnon,RB,9.893333333333334
Randall Cobb,WR,11.407692307692308
Kansas City Chiefs,DST,9.25
Matt Prater,K,9.25
Chris Thompson,RB,9.218749999999998
Wil Lutz,K,9.1875
Tavon Austin,WR,9.786666666666667
Alshon Jeffery,WR,12.174999999999999
Arizona Cardinals,DST,9.125
Jack Doyle,TE,9.0875
Duke Johnson Jr.,RB,9.012500000000001
Eric Ebron,TE,11.092307692307692
Devontae Booker,RB,8.918749999999998
New York Giants,DST,8.8125
Graham Gano,K,8.8125
Ty Montgomery II,RB,9.366666666666665
Stephen Gostkowski,K,8.75
Dan Bailey,K,8.75
Taylor Gabriel,WR,10.76923076923077
J.J. Nelson,WR,9.273333333333333
Minnesota Vikings,DST,8.6875
Cairo Santos,K,8.6875
Stephen Hauschka,K,8.625
T.J. Yeldon,RB,9.180000000000001
Jason Myers,K,8.375
Ryan Fitzpatrick,QB,9.52857142857143
Adam Humphries,WR,8.866666666666667
Tampa Bay Buccaneers,DST,8.3125
Brandon McManus,K,8.2875
Travis Benjamin,WR,9.457142857142857
Hunter Henry,TE,8.653333333333334
Mason Crosby,K,8.0625
Chris Hogan,WR,8.593333333333332
Philadelphia Eagles,DST,8.0
New England Patriots,DST,7.875
Josh Lambo,K,7.875
Tyler Boyd,WR,7.7562500000000005
Tyler Lockett,WR,8.273333333333333
Carolina Panthers,DST,7.75
Giovani Bernard,RB,12.23
William Fuller V,WR,8.728571428571431
Baltimore Ravens,DST,7.625
Los Angeles Chargers,DST,7.4375
Ryan Succop,K,7.4375
Robert Woods,WR,9.146153846153846
Seattle Seahawks,DST,7.25
Jalen Richard,RB,7.218750000000001
Robbie Chosen,WR,7.1812499999999995
Vernon Davis,TE,7.143749999999999
Cordarrelle Patterson,RB,7.1000000000000005
Nick Folk,K,7.0
Case Keenum,QB,11.1
Atlanta Falcons,DST,6.9375
Chris Boswell,K,7.333333333333333
Pittsburgh Steelers,DST,6.625
Derrick Henry,RB,7.046666666666666
Tajae Sharpe,WR,6.58125
Ryan Griffin,TE,6.512499999999999
Miami Dolphins,DST,6.5
John Brown,WR,6.913333333333333
Buffalo Bills,DST,6.4375
Donte Moncrief,WR,11.399999999999999
Breshad Perriman,WR,6.3187500000000005
Allen Hurns,WR,9.154545454545454
Green Bay Packers,DST,6.25
Phillip Dorsett II,WR,6.586666666666667
Tyler Eifert,TE,12.3
Rob Gronkowski,TE,12.125
Mike Nugent,K,7.461538461538462
Chris Conley,WR,6.0625
Las Vegas Raiders,DST,5.875
Damien Williams,RB,6.226666666666666
Corey Coleman,WR,9.330000000000002
Tennessee Titans,DST,5.75
Cincinnati Bengals,DST,5.75
Los Angeles Rams,DST,5.6875
Dallas Cowboys,DST,5.6875
Jesse James,TE,5.675
Marquise Goodwin,WR,6.006666666666665
Houston Texans,DST,5.5625
Cody Parkey,K,6.357142857142857
Nelson Agholor,WR,5.860000000000001
Vance McDonald,TE,7.918181818181818
Greg Zuerlein,K,5.4375
Devin Funchess,WR,5.74
Washington Commanders,DST,5.375
DeAndre Washington,RB,6.085714285714286
Sammy Watkins,WR,10.375
Albert Wilson,WR,5.1187499999999995
Indianapolis Colts,DST,5.0625
Brian Hoyer,QB,13.283333333333331
Chicago Bears,DST,4.875
Paul Perkins,RB,5.485714285714286
Rex Burkhead,RB,4.74375
Trey Burton,TE,4.73125
Kyle Juszczyk,RB,4.6125
Blaine Gabbert,QB,12.283333333333333
Detroit Lions,DST,4.5625
Matt Barkley,QB,10.257142857142858
Jared Cook,TE,7.17
Danny Amendola,WR,5.7749999999999995
Richard Rodgers,TE,4.3187500000000005
Robert Griffin III,QB,13.3
Justin Hardy,WR,4.08125
Austin Hooper,TE,4.578571428571428
Jacksonville Jaguars,DST,4.0
San Francisco 49ers,DST,3.9375
C.J. Prosise,RB,10.166666666666668
New Orleans Saints,DST,3.625
Paul Richardson Jr.,WR,3.753333333333333
New York Jets,DST,3.5
Matt Moore,QB,13.675
Dion Lewis,RB,7.814285714285716
C.J. Uzomah,TE,5.44
Robbie Gould,K,5.4
Jared Goff,QB,7.6
Josh McCown,QB,10.419999999999998
Virgil Green,TE,4.308333333333334
Levine Toilolo,TE,3.2125
Dwayne Washington,RB,4.058333333333333
Cleveland Browns,DST,3.0
Wendell Smallwood,RB,3.5923076923076924
Chester Rogers,WR,3.307142857142857
