name,position,adp
Carolina Panthers DST,DST13,179.3
Charles Clay,TE20,179.5
Benjamin Watson,TE21,187.3
Geronimo Allison,WR69,190.8
Tyrod Taylor,QB24,196.8
Ricky Seals-Jones,TE22,198.5
Arizona Cardinals DST,DST14,199.3
Marqise Lee,WR70,156.0
D'Onta Foreman,RB58,164.3
Antonio Gates,TE23,214.3
Adam Vinatieri,K12,240.4
Doug Martin,RB59,173.3
Nyheim Hines,RB60,178.7
Mike Gesicki,TE24,179.7
Javorius Allen,RB61,182.3
Tyrell Williams,WR71,183.0
Daniel Carlson,K13,223.8
Blake Bortles,QB25,184.0
Andy Dalton,QB26,184.3
Ted Ginn Jr.,WR72,187.7
Case Keenum,QB27,188.0
Mike Wallace,WR73,227.8
Christian Kirk,WR74,189.0
Martavis Bryant,WR75,190.3
Vance McDonald,TE25,193.7
T.J. Yeldon,RB62,195.3
Austin Hooper,TE26,195.7
Robert Kelley,RB63,201.0
Hayden Hurst,TE27,204.3
Graham Gano,K14,239.8
Frank Gore,RB64,208.7
Spencer Ware,RB65,209.7
Samaje Perine,RB66,210.3
Chris Ivory,RB67,214.3
Atlanta Falcons DST,DST15,216.3
Ryan Tannehill,QB28,217.0
Donte Moncrief,WR76,220.3
Tennessee Titans DST,DST16,221.3
James Washington,WR77,227.7
Kalen Ballage,RB68,228.7
Joe Flacco,QB29,229.0
Jeremy Hill,RB69,234.3
Terrance Williams,WR78,234.3
Baker Mayfield,QB30,235.7
Ryan Succop,K15,240.0
Taywan Taylor,WR79,240.7
Quincy Enunwa,WR80,242.3
Kenneth Dixon,RB70,245.0
Chase Edmonds,RB71,245.0
Tre'Quan Smith,WR81,246.7
Darren Sproles,RB72,247.7
Cole Beasley,WR82,248.0
Phillip Dorsett II,WR83,248.3
Kansas City Chiefs DST,DST17,202.0
John Kelly Jr.,RB73,252.0
Seattle Seahawks DST,DST18,207.5
Jonathan Stewart,RB74,255.0
Terrelle Pryor Sr.,WR84,255.7
Lamar Jackson,QB31,255.7
Dallas Goedert,TE28,255.7
Sam Darnold,QB32,256.7
Cordarrelle Patterson,RB75,258.7
Brandon Marshall,WR85,259.0
Brandon McManus,K16,260.7
Sam Bradford,QB33,261.7
Josh Lambo,K17,263.7
Rod Smith,RB76,265.0
Dante Pettis,WR86,265.3
Jermaine Kearse,WR87,265.7
Dan Bailey,K18,266.0
Pharoh Cooper,WR88,112.0
Jake Butt,TE29,267.3
Detroit Lions DST,DST19,235.5
Tavon Austin,WR89,275.0
Vernon Davis,TE30,276.0
Nick Foles,QB34,276.0
Corey Coleman,WR90,276.3
Travis Benjamin,WR91,276.7
Albert Wilson,WR92,277.3
Ryan Grant,WR93,286.0
Alex Erickson,WR94,151.0
Antonio Callaway,WR95,280.7
Ameer Abdullah,RB77,280.7
Hunter Henry,TE31,307.5
Dallas Cowboys DST,DST20,250.0
Josh Rosen,QB35,282.0
Ryan Griffin,TE32,282.0
Ryan Switzer,WR96,160.0
C.J. Prosise,RB78,284.7
Josh Allen,QB36,285.0
Stephen Hauschka,K19,285.0
Green Bay Packers DST,DST21,256.0
Wayne Gallman Jr.,RB79,286.3
Ka'imi Fairbairn,K20,258.0
Cleveland Browns DST,DST22,259.5
Nick Vannett,TE33,288.3
DJ Chark Jr.,WR97,290.3
Jakeem Grant Sr.,WR98,183.0
Ed Dickson,TE34,291.0
Mike Gillislee,RB80,291.0
Andre Roberts,WR99,185.0
Dustin Hopkins,K21,293.3
Kevin White,WR100,293.3
Laquon Treadwell,WR101,294.7
Phil Dawson,K22,296.0
Jordan Matthews,WR102,201.0
Jaylen Samuels,RB81,273.0
Willie Snead IV,WR103,273.0
Corey Grant,RB82,297.3
Luke Willson,TE35,298.7
Chris Warren III,RB83,276.0
Trevor Davis,WR104,208.0
Kai Forbath,K23,276.5
Buffalo Bills DST,DST23,277.5
Malcolm Brown,RB84,278.5
Elijah McGuire,RB85,280.5
Cincinnati Bengals DST,DST24,280.5
Sebastian Janikowski,K24,305.7
Zay Jones,WR105,282.0
Caleb Sturgis,K25,306.0
Geoff Swaim,TE36,283.0
New York Giants DST,DST25,283.0
Taylor Gabriel,WR106,284.5
Jesse James,TE37,284.5
Jonathan Williams,RB86,285.0
Virgil Green,TE38,305.7
J'Mon Moore,WR107,290.0
Brandon Zylstra,WR108,239.0
Cairo Santos,K26,305.0
Jake Kumerow,WR109,296.5
Alfred Blue,RB87,321.7
Washington Commanders DST,DST26,298.0
Torrey Smith,WR110,298.0
San Francisco 49ers DST,DST27,300.0
J.J. Nelson,WR111,300.0
Stephen Anderson,TE39,301.5
Tampa Bay Buccaneers DST,DST28,302.5
Mark Andrews,TE40,261.0
Adam Shaheen,TE41,262.0
Tyler Kroft,TE42,303.5
Rico Gathers,TE43,265.0
Boston Scott,RB88,337.0
Jaron Brown,WR112,320.0
Gerald Everett,TE44,308.0
Tyler Boyd,WR113,329.0
Brett Maher,K27,333.0
Curtis Samuel,WR114,276.0
Blake Jarwin,TE45,281.0
Adam Humphries,WR115,313.5
Joe Williams,RB89,314.0
Jalen Richard,RB90,314.0
Wendell Smallwood,RB91,332.0
Cameron Artis-Payne,RB92,285.0
John Conner,RB93,286.0
Travaris Cadet,RB94,286.0
Trent Taylor,WR116,315.5
Chester Rogers,WR117,287.0
Keke Coutee,WR118,288.0
Cody Parkey,K28,340.5
Shane Vereen,RB95,291.0
Garrett Celek,TE46,293.0
Christine Michael,RB96,319.5
Stevan Ridley,RB97,319.5
Brice Butler,WR119,296.0
Matt Barkley,QB37,297.0
Jeremy Maclin,WR120,300.0
Chandler Catanzaro,K29,357.0
Charles Sims,RB98,302.0
Phillip Lindsay,RB99,323.5
J.D. McKissic,RB100,324.0
Aldrick Rosas,K30,330.5
New York Jets DST,DST29,306.0
Jonnu Smith,TE47,306.0
Jacoby Brissett,QB38,307.0
Josh McCown,QB39,308.0
DeAndre Washington,RB101,355.0
AJ McCarron,QB40,312.0
Miami Dolphins DST,DST30,313.0
Kenny Britt,WR121,314.0
Jacquizz Rodgers,RB102,316.0
Ryan Fitzpatrick,QB41,317.0
Dwayne Allen,TE48,318.0
Robert Turbin,RB103,320.0
Kyle Juszczyk,RB104,371.0
Brandon LaFell,WR122,321.0
Brian Hoyer,QB42,323.0
Las Vegas Raiders DST,DST31,325.0
Steven Jackson,RB105,326.0
Tyler Higbee,TE49,355.5
Marcus Murphy,RB106,346.5
Peyton Hillis,RB107,328.0
Orleans Darkwa,RB108,329.0
Jordan Akins,TE50,342.5
Mark Walton,RB109,330.0
Michael Roberts,TE51,331.0
Chad Williams,WR123,332.0
Cody Latimer,WR124,333.0
Tyler Ervin,RB110,334.0
Jordan Leggett,TE52,336.0
Xavier Grimble,TE53,337.0
Chris Johnson,RB111,338.0
Wes Welker,WR125,340.0
Jeff Heuerman,TE54,367.5
Brock Osweiler,QB43,342.0
Dennis Pitta,TE55,345.0
,1,346.0
Randy Moss,WR126,347.0
Tajae Sharpe,WR127,348.0
Tony Romo,QB44,349.0
Knowshon Moreno,RB112,350.0
Marques Colston,WR128,351.0
Akeem Hunt,RB113,352.0
Malcolm Mitchell,WR129,353.0
Kendall Wright,WR130,358.0
Coby Fleener,TE56,360.0
Rashard Higgins,WR131,361.0
Damoun Patterson,WR132,362.0
Landry Jones,QB45,364.0
