name,position,adp
Le'Veon Bell,RB1,1.5
Adrian Peterson,RB2,1.8
Antonio Brown,WR1,3.8
Jamaal Charles,RB3,4.0
Eddie Lacy,RB4,4.0
Marshawn Lynch,RB5,7.3
Julio Jones,WR2,7.8
Dez Bryant,WR3,8.0
Rob Gronkowski,TE1,9.0
Odell Beckham Jr.,WR4,11.0
C.J. Anderson,RB6,11.5
Demaryius Thomas,WR5,11.8
Matt Forte,RB7,12.3
Calvin Johnson,WR6,14.8
DeMarco Murray,RB8,16.0
Jeremy Hill,RB9,16.8
A.J. Green,WR7,18.0
Andrew Luck,QB1,18.3
Randall Cobb,WR8,19.5
LeSean McCoy,RB10,19.5
Aaron Rodgers,QB2,21.8
Justin Forsett,RB11,22.3
T.Y. Hilton,WR9,23.5
Alshon Jeffery,WR10,24.3
Brandin Cooks,WR11,26.8
Mike Evans,WR12,26.8
Lamar Miller,RB12,27.0
Frank Gore,RB13,29.0
DeAndre Hopkins,WR13,29.8
Jimmy Graham,TE2,30.3
Jordan Matthews,WR14,31.5
Mark Ingram II,RB14,31.8
Emmanuel Sanders,WR15,32.5
Melvin Gordon III,RB15,37.0
Latavius Murray,RB16,37.8
Alfred Morris,RB17,41.0
Carlos Hyde,RB18,41.8
Andre Ellington,RB19,42.0
Andre Johnson,WR16,44.3
Amari Cooper,WR17,45.0
Golden Tate,WR18,45.5
Julian Edelman,WR19,47.3
Arian Foster,RB20,48.5
Ameer Abdullah,RB21,49.0
Keenan Allen,WR20,49.3
Joseph Randle,RB22,49.8
Jeremy Maclin,WR21,50.0
Jonathan Stewart,RB23,50.3
Greg Olsen,TE3,50.5
Jarvis Landry,WR22,51.0
Travis Kelce,TE4,51.5
Peyton Manning,QB3,52.3
Drew Brees,QB4,54.5
Sammy Watkins,WR23,55.8
T.J. Yeldon,RB24,56.0
C.J. Spiller,RB25,56.3
Brandon Marshall,WR24,57.0
Doug Martin,RB26,59.5
Russell Wilson,QB5,59.8
Ben Roethlisberger,QB6,60.8
Todd Gurley II,RB27,62.5
Allen Robinson II,WR25,62.5
Davante Adams,WR26,64.0
Martellus Bennett,TE5,65.3
DeSean Jackson,WR27,65.3
Giovani Bernard,RB28,66.0
Martavis Bryant,WR28,66.8
Chris Ivory,RB29,67.3
Nelson Agholor,WR29,68.8
Vincent Jackson,WR30,70.8
Matt Ryan,QB7,72.5
Joique Bell,RB30,73.3
Charles Johnson,WR31,75.3
LeGarrette Blount,RB31,76.3
Shane Vereen,RB32,76.3
Tevin Coleman,RB33,77.5
Rashad Jennings,RB34,79.8
Mike Wallace,WR32,80.0
Tom Brady,QB8,80.5
Tony Romo,QB9,82.8
Matthew Stafford,QB10,87.5
John Brown,WR33,87.5
Ryan Tannehill,QB11,87.8
Isaiah Crowell,RB35,89.5
Jordan Cameron,TE6,89.8
Larry Fitzgerald,WR34,91.0
Roddy White,WR35,91.3
Eric Decker,WR36,92.0
Steve Smith,WR37,92.3
Jason Witten,TE7,94.0
Ryan Mathews,RB36,94.8
Eli Manning,QB12,97.0
Devonta Freeman,RB37,97.5
Tre Mason,RB38,98.5
Victor Cruz,WR38,99.5
Bishop Sankey,RB39,100.5
Anquan Boldin,WR39,102.5
Darren McFadden,RB40,103.3
Kendall Wright,WR40,103.3
Alfred Blue,RB41,104.5
Duke Johnson Jr.,RB42,104.5
Seattle Seahawks DST,DST1,105.3
Michael Floyd,WR41,105.5
Torrey Smith,WR42,107.3
Devin Funchess,WR43,107.8
Sam Bradford,QB13,108.0
Danny Woodhead,RB43,108.5
Cam Newton,QB14,109.0
Zach Ertz,TE8,109.5
Delanie Walker,TE9,110.0
Philip Rivers,QB15,110.8
Marques Colston,WR44,115.5
Pierre Garcon,WR45,115.5
DeVante Parker,WR46,118.3
Julius Thomas,TE10,118.8
Terrance Williams,WR47,119.0
Buffalo Bills DST,DST2,119.5
Tyler Eifert,TE11,120.3
Darren Sproles,RB44,122.0
Houston Texans DST,DST3,122.5
Teddy Bridgewater,QB16,124.5
Los Angeles Rams DST,DST4,126.3
David Johnson,RB45,126.3
Breshad Perriman,WR48,126.8
Eddie Royal,WR49,127.3
Markus Wheaton,WR50,129.5
Reggie Bush,RB46,131.0
Knile Davis,RB47,131.0
Brandon LaFell,WR51,131.3
Stephen Gostkowski,K1,134.0
Kyle Rudolph,TE12,134.5
Owen Daniels,TE13,137.8
