name,position,adp
Jonathan Taylor,RB1,1.0
Christian McCaffrey,RB2,2.0
Austin Ekeler,RB3,3.8
Cooper Kupp,WR1,4.0
Derrick Henry,RB4,5.3
Justin Jefferson,WR2,5.5
Dalvin Cook,RB5,7.5
Najee Harris,RB6,8.0
Ja'Marr Chase,WR3,8.3
Joe Mixon,RB7,10.3
Davante Adams,WR4,12.3
Stefon Diggs,WR5,12.5
Alvin Kamara,RB8,13.3
Travis Kelce,TE1,15.0
D'Andre Swift,RB9,15.5
Deebo Samuel Sr.,WR6,17.0
Aaron Jones,RB10,19.5
CeeDee Lamb,WR7,19.5
Tyreek Hill,WR8,19.8
Nick Chubb,RB11,20.0
Saquon Barkley,RB12,20.3
Josh Allen,QB1,20.8
Mark Andrews,TE2,21.8
Leonard Fournette,RB13,22.0
Javonte Williams,RB14,22.8
Mike Evans,WR9,26.8
Keenan Allen,WR10,28.3
James Conner,RB15,29.3
Patrick Mahomes II,QB2,29.8
Ezekiel Elliott,RB16,30.3
A.J. Brown,WR11,30.8
Kyle Pitts,TE3,32.8
Michael Pittman Jr.,WR12,33.5
Tee Higgins,WR13,33.8
Justin Herbert,QB3,34.5
David Montgomery,RB17,36.5
Cam Akers,RB18,39.8
George Kittle,TE4,39.8
Travis Etienne Jr.,RB19,40.5
Terry McLaurin,WR14,41.0
Lamar Jackson,QB4,43.5
DJ Moore,WR15,43.8
Diontae Johnson,WR16,43.8
Darren Waller,TE5,44.8
Mike Williams,WR17,46.0
Jaylen Waddle,WR18,47.3
DK Metcalf,WR19,48.3
Josh Jacobs,RB20,49.5
Elijah Mitchell,RB21,52.0
J.K. Dobbins,RB22,52.0
Breece Hall,RB23,52.3
Kyler Murray,QB5,53.8
Jalen Hurts,QB6,55.3
Brandin Cooks,WR20,56.0
Dalton Schultz,TE6,57.3
Courtland Sutton,WR21,58.0
Joe Burrow,QB7,60.3
Hollywood Brown,WR22,61.5
Chris Godwin,WR23,61.8
Allen Robinson II,WR24,62.8
Amon-Ra St. Brown,WR25,63.5
Clyde Edwards-Helaire,RB24,64.0
Antonio Gibson,RB25,64.8
Jerry Jeudy,WR26,65.8
