name,position,adp
Saquon Barkley,RB1,1.0
Christian McCaffrey,RB2,2.5
Alvin Kamara,RB3,2.5
Ezekiel Elliott,RB4,4.0
DeAndre Hopkins,WR1,5.3
David Johnson,RB5,6.7
Le'Veon Bell,RB6,7.5
Davante Adams,WR2,7.5
James Conner,RB7,10.3
Julio Jones,WR3,10.5
Michael Thomas,WR4,10.7
Odell Beckham Jr.,WR5,12.8
Todd Gurley II,RB8,13.2
JuJu Smith-Schuster,WR6,14.8
Travis Kelce,TE1,15.2
Tyreek Hill,WR7,15.7
Nick Chubb,RB9,16.0
Dalvin Cook,RB10,18.0
Joe Mixon,RB11,18.0
Patrick Mahomes II,QB1,18.8
Antonio Brown,WR8,21.0
Mike Evans,WR9,21.2
Adam Thielen,WR10,25.0
Keenan Allen,WR11,25.2
Leonard Fournette,RB12,25.8
George Kittle,TE2,28.2
Zach Ertz,TE3,28.5
Kerryon Johnson,RB13,29.3
Devonta Freeman,RB14,29.8
Amari Cooper,WR12,31.2
Stefon Diggs,WR13,32.2
Aaron Jones,RB15,32.3
Josh Jacobs,RB16,34.2
Damien Williams,RB17,34.3
Julian Edelman,WR14,35.2
Chris Carson,RB18,36.5
Derrick Henry,RB19,38.7
Brandin Cooks,WR15,38.8
T.Y. Hilton,WR16,40.7
Robert Woods,WR17,41.8
Marlon Mack,RB20,42.5
Melvin Gordon III,RB21,44.2
Deshaun Watson,QB2,44.3
Kenny Golladay,WR18,44.5
Mark Ingram II,RB22,44.5
David Montgomery,RB23,45.3
Chris Godwin,WR19,46.0
Tyler Lockett,WR20,46.2
Sony Michel,RB24,48.0
Cooper Kupp,WR21,49.0
Aaron Rodgers,QB3,50.5
James White,RB25,53.3
Phillip Lindsay,RB26,54.7
Tyler Boyd,WR22,55.7
Evan Engram,TE4,57.2
O.J. Howard,TE5,57.5
Calvin Ridley,WR23,58.0
Baker Mayfield,QB4,59.7
Mike Williams,WR24,61.7
A.J. Green,WR25,64.5
Hunter Henry,TE6,64.5
DJ Moore,WR26,64.7
Jarvis Landry,WR27,65.2
Matt Ryan,QB5,67.3
Alshon Jeffery,WR28,67.7
Tarik Cohen,RB27,68.3
Tevin Coleman,RB28,68.7
Austin Ekeler,RB29,70.8
Jared Cook,TE7,71.3
Allen Robinson II,WR29,72.5
Miles Sanders,RB30,73.5
Josh Gordon,WR30,74.5
Kenyan Drake,RB31,76.7
Duke Johnson Jr.,RB32,77.2
Robbie Chosen,WR31,78.3
Drew Brees,QB6,78.5
Derrius Guice,RB33,78.8
Carson Wentz,QB7,81.0
Chicago Bears DST,DST1,83.7
Vance McDonald,TE8,84.2
Sammy Watkins,WR32,84.5
Russell Wilson,QB8,84.7
Dede Westbrook,WR33,85.5
Cam Newton,QB9,86.7
William Fuller V,WR34,86.8
Sterling Shepard,WR35,87.7
Jared Goff,QB10,88.3
Christian Kirk,WR36,92.0
David Njoku,TE9,92.3
Latavius Murray,RB34,93.2
Corey Davis,WR37,94.8
Marvin Jones Jr.,WR38,96.3
Emmanuel Sanders,WR39,97.8
Curtis Samuel,WR40,98.7
Jordan Howard,RB35,99.2
LeSean McCoy,RB36,99.2
Larry Fitzgerald,WR41,100.2
Eric Ebron,TE10,101.8
Rashaad Penny,RB37,102.5
Ben Roethlisberger,QB11,106.7
Darrell Henderson Jr.,RB38,106.8
Los Angeles Rams DST,DST2,107.0
Dante Pettis,WR42,107.5
Matt Breida,RB39,108.0
Devin Singletary,RB40,108.8
Royce Freeman,RB41,109.5
Courtland Sutton,WR43,111.7
Austin Hooper,TE11,114.0
Greg Zuerlein,K1,114.7
Kyler Murray,QB12,114.7
Marquez Valdes-Scantling,WR44,115.0
Tom Brady,QB13,116.3
Kareem Hunt,RB42,117.2
Lamar Jackson,QB14,118.2
Jacksonville Jaguars DST,DST3,118.5
Delanie Walker,TE12,119.5
Geronimo Allison,WR45,119.8
Justin Tucker,K2,122.2
Peyton Barber,RB43,122.2
James Washington,WR46,123.2
Dak Prescott,QB15,125.8
Jameis Winston,QB16,126.5
Philip Rivers,QB17,126.5
DeSean Jackson,WR47,130.7
Minnesota Vikings DST,DST4,130.8
Michael Gallup,WR48,131.2
Baltimore Ravens DST,DST5,132.2
Harrison Butker,K3,132.8
Los Angeles Chargers DST,DST6,133.0
Tony Pollard,RB44,134.3
Kalen Ballage,RB45,134.3
Donte Moncrief,WR49,134.3
Jaylen Samuels,RB46,135.0
Golden Tate,WR50,138.0
