name,position,adp
Christian McCaffrey,RB1,1.0
Saquon Barkley,RB2,2.0
Ezekiel Elliott,RB3,3.0
Dalvin Cook,RB4,4.8
Michael Thomas,WR1,5.0
Alvin Kamara,RB5,5.3
Derrick Henry,RB6,7.3
Davante Adams,WR2,11.3
Josh Jacobs,RB7,12.0
Joe Mixon,RB8,12.8
Clyde Edwards-Helaire,RB9,14.0
Miles Sanders,RB10,14.0
Austin Ekeler,RB11,14.3
Tyreek Hill,WR3,14.8
Nick Chubb,RB12,15.0
Kenyan Drake,RB13,15.0
Julio Jones,WR4,15.3
DeAndre Hopkins,WR5,15.5
Aaron Jones,RB14,18.3
Travis Kelce,TE1,18.8
Patrick Mahomes II,QB1,20.0
Chris Godwin,WR6,20.8
Lamar Jackson,QB2,21.0
George Kittle,TE2,23.3
Kenny Golladay,WR7,26.0
Mike Evans,WR8,27.0
Chris Carson,RB15,30.3
DJ Moore,WR9,30.3
Todd Gurley II,RB16,30.8
Allen Robinson II,WR10,32.0
Odell Beckham Jr.,WR11,32.0
Adam Thielen,WR12,32.3
JuJu Smith-Schuster,WR13,33.8
James Conner,RB17,34.8
Amari Cooper,WR14,35.3
David Johnson,RB18,35.3
Le'Veon Bell,RB19,37.8
Cooper Kupp,WR15,38.0
Melvin Gordon III,RB20,40.5
Zach Ertz,TE3,42.0
Mark Andrews,TE4,42.3
A.J. Brown,WR16,42.3
Jonathan Taylor,RB21,42.8
Calvin Ridley,WR17,43.0
Robert Woods,WR18,46.0
Courtland Sutton,WR19,46.5
Keenan Allen,WR20,50.5
Tyler Lockett,WR21,51.0
DK Metcalf,WR22,51.3
Devin Singletary,RB22,53.8
Dak Prescott,QB3,53.8
DJ Chark Jr.,WR23,54.3
Raheem Mostert,RB23,54.8
Cam Akers,RB24,54.8
Mark Ingram II,RB25,55.0
Terry McLaurin,WR24,56.8
T.Y. Hilton,WR25,57.0
Darren Waller,TE5,57.3
Kareem Hunt,RB26,58.0
Kyler Murray,QB4,58.5
Deshaun Watson,QB5,59.0
Leonard Fournette,RB27,59.3
Russell Wilson,QB6,59.5
DeVante Parker,WR26,62.3
Stefon Diggs,WR27,63.0
David Montgomery,RB28,63.8
D'Andre Swift,RB29,65.8
Hollywood Brown,WR28,69.8
A.J. Green,WR29,70.0
Jarvis Landry,WR30,73.0
Evan Engram,TE6,73.5
Tyler Boyd,WR31,73.8
Michael Gallup,WR32,74.8
William Fuller V,WR33,75.5
Julian Edelman,WR34,76.0
Rob Gronkowski,TE7,78.8
James White,RB30,80.8
Tom Brady,QB7,81.5
Tyler Higbee,TE8,83.5
Drew Brees,QB8,83.8
Matt Ryan,QB9,84.8
Deebo Samuel Sr.,WR35,85.3
J.K. Dobbins,RB31,85.8
Hunter Henry,TE9,86.5
Tarik Cohen,RB32,86.5
Brandin Cooks,WR36,87.5
Ronald Jones II,RB33,88.5
Phillip Lindsay,RB34,88.8
Marvin Jones Jr.,WR37,90.0
Jordan Howard,RB35,91.3
Josh Allen,QB10,93.8
Aaron Rodgers,QB11,97.5
Marlon Mack,RB36,99.3
Kerryon Johnson,RB37,99.8
Matt Breida,RB38,100.5
Diontae Johnson,WR38,100.5
Antonio Gibson,RB39,101.0
Christian Kirk,WR39,102.5
Zack Moss,RB40,103.5
CeeDee Lamb,WR40,104.5
Jamison Crowder,WR41,104.8
Carson Wentz,QB12,105.3
Jared Cook,TE10,105.5
Sterling Shepard,WR42,105.5
Hayden Hurst,TE11,106.3
Emmanuel Sanders,WR43,106.5
San Francisco 49ers DST,DST1,107.5
Latavius Murray,RB41,107.5
Matthew Stafford,QB13,110.5
Sony Michel,RB42,112.3
Tevin Coleman,RB43,113.5
Jerry Jeudy,WR44,114.8
Darius Slayton,WR45,115.0
Noah Fant,TE12,115.0
