position,adp
RB,755.0
TE,756.0
RB,757.0
WR,758.0
WR,759.0
QB,760.0
WR,761.0
WR,762.0
TE,763.0
WR,764.0
RB,765.0
RB,766.0
WR,767.0
WR,768.0
TE,770.0
QB,771.0
TE,772.0
RB,773.0
TE,774.0
TE,775.0
TE,776.0
WR,777.0
TE,778.0
TE,779.0
RB,780.0
TE,781.0
TE,782.0
WR,783.0
TE,784.0
RB,785.0
WR,786.0
WR,787.0
TE,788.0
TE,789.0
RB,790.0
QB,791.0
WR,792.0
TE,794.0
TE,795.0
WR,796.0
TE,797.0
WR,798.0
TE,799.0
RB,800.0
WR,801.0
WR,802.0
WR,803.0
WR,804.0
TE,805.0
CB,806.0
QB,807.0
QB,808.0
RB,809.0
TE,810.0
WR,811.0
TE,813.0
WR,814.0
TE,815.0
RB,816.0
TE,817.0
WR,818.0
WR,819.0
TE,820.0
WR,821.0
WR,822.0
TE,823.0
WR,824.0
WR,825.0
WR,826.0
QB,827.0
WR,829.0
WR,830.0
WR,831.0
RB,832.0
TE,833.0
TE,834.0
QB,835.0
RB,836.0
TE,837.0
WR,838.0
WR,839.0
TE,840.0
WR,842.0
WR,843.0
QB,844.0
QB,845.0
RB,846.0
WR,847.0
QB,848.0
WR,849.0
TE,850.0
RB,851.0
WR,852.0
WR,853.0
TE,854.0
RB,855.0
WR,856.0
WR,857.0
WR,858.0
QB,859.0
WR,860.0
WR,861.0
WR,862.0
TE,863.0
TE,864.0
TE,865.0
WR,866.0
QB,868.0
WR,869.0
WR,871.0
RB,872.0
WR,874.0
WR,875.0
QB,876.0
QB,877.0
WR,878.0
WR,879.0
WR,881.0
WR,882.0
WR,883.0
WR,884.0
WR,885.0
WR,886.0
WR,887.0
WR,888.0
RB,889.0
WR,890.0
QB,891.0
WR,892.0
WR,893.0
WR,894.0
WR,895.0
WR,896.0
WR,897.0
WR,898.0
WR,899.0
WR,900.0
WR,901.0
TE,902.0
WR,903.0
WR,904.0
WR,905.0
WR,906.0
WR,907.0
WR,908.0
WR,909.0
WR,910.0
WR,911.0
WR,912.0
WR,913.0
WR,914.0
QB,915.0
WR,916.0
WR,917.0
QB,918.0
WR,919.0
WR,920.0
WR,922.0
WR,923.0
QB,924.0
WR,925.0
WR,926.0
WR,927.0
WR,928.0
WR,929.0
RB,930.0
WR,931.0
WR,932.0
QB,933.0
TE,935.0
QB,936.0
WR,944.0
QB,945.0
WR,946.0
RB,953.0
RB,956.0
RB,961.0
QB,962.0
RB,963.0
RB,973.0
RB,975.0
TE,979.0
WR,1000.0
