name,position,adp
Antonio Brown,WR1,1.0
Julio Jones,WR2,2.3
Odell Beckham Jr.,WR3,2.8
Todd Gurley II,RB1,4.8
DeAndre Hopkins,WR4,5.8
A.J. Green,WR5,6.0
David Johnson,RB2,6.0
Ezekiel Elliott,RB3,9.8
Allen Robinson II,WR6,9.8
Adrian Peterson,RB4,10.8
Rob Gronkowski,TE1,11.5
Lamar Miller,RB5,11.8
Le'Veon Bell,RB6,12.5
Dez Bryant,WR7,12.5
Keenan Allen,WR8,15.0
Brandon Marshall,WR9,15.8
Devonta Freeman,RB7,17.5
Mike Evans,WR10,18.0
Jordy Nelson,WR11,18.5
Alshon Jeffery,WR12,20.3
Amari Cooper,WR13,21.3
Jamaal Charles,RB8,21.8
Brandin Cooks,WR14,23.8
Mark Ingram II,RB9,24.3
Eddie Lacy,RB10,25.8
LeSean McCoy,RB11,26.3
T.Y. Hilton,WR15,28.0
Demaryius Thomas,WR16,28.0
Sammy Watkins,WR17,28.5
Doug Martin,RB12,29.5
Jarvis Landry,WR18,30.0
Jordan Reed,TE2,33.5
Cam Newton,QB1,34.3
C.J. Anderson,RB13,35.3
Randall Cobb,WR19,36.5
Julian Edelman,WR20,39.8
Matt Forte,RB14,40.5
Aaron Rodgers,QB2,40.5
Latavius Murray,RB15,41.0
Jeremy Maclin,WR21,41.3
Thomas Rawls,RB16,42.5
Carlos Hyde,RB17,43.3
Greg Olsen,TE3,44.5
DeMarco Murray,RB18,45.0
Golden Tate,WR22,45.3
Kelvin Benjamin,WR23,46.3
Donte Moncrief,WR24,46.5
Eric Decker,WR25,49.0
Jeremy Langford,RB19,49.5
Doug Baldwin,WR26,51.8
Russell Wilson,QB3,53.5
Andrew Luck,QB4,53.5
Danny Woodhead,RB20,55.8
Travis Kelce,TE4,57.5
Larry Fitzgerald,WR27,57.5
Michael Floyd,WR28,58.5
Jeremy Hill,RB21,59.8
Jordan Matthews,WR29,60.8
Delanie Walker,TE5,61.8
Drew Brees,QB5,61.8
Giovani Bernard,RB22,62.0
Melvin Gordon III,RB23,64.5
Duke Johnson Jr.,RB24,64.8
Ryan Mathews,RB25,64.8
Marvin Jones Jr.,WR30,65.8
Coby Fleener,TE6,66.0
Arian Foster,RB26,66.5
Emmanuel Sanders,WR31,67.0
Allen Hurns,WR32,69.5
Ben Roethlisberger,QB6,70.0
Jonathan Stewart,RB27,70.0
John Brown,WR33,70.8
Tom Brady,QB7,72.3
Tyler Lockett,WR34,72.8
Josh Gordon,WR35,76.3
Matt Jones,RB28,76.3
Michael Crabtree,WR36,76.8
Frank Gore,RB29,78.5
Carson Palmer,QB8,80.3
Zach Ertz,TE7,80.5
DeSean Jackson,WR37,83.3
DeAngelo Williams,RB30,84.5
Gary Barnidge,TE8,84.8
Ameer Abdullah,RB31,84.8
Rashad Jennings,RB32,87.3
DeVante Parker,WR38,88.5
Julius Thomas,TE9,90.8
Sterling Shepard,WR39,91.0
Charles Sims,RB33,91.0
Blake Bortles,QB9,92.3
Derrick Henry,RB34,92.5
Eli Manning,QB10,92.8
T.J. Yeldon,RB35,93.3
Chris Ivory,RB36,93.5
Antonio Gates,TE10,94.5
Kevin White,WR40,94.8
Willie Snead IV,WR41,95.5
Stefon Diggs,WR42,97.3
Theo Riddick,RB37,100.0
Philip Rivers,QB11,102.5
LeGarrette Blount,RB38,108.3
Bilal Powell,RB39,110.3
Derek Carr,QB12,111.3
Isaiah Crowell,RB40,111.3
Kamar Aiken,WR43,112.8
Martellus Bennett,TE11,113.3
Travis Benjamin,WR44,115.8
Tavon Austin,WR45,116.0
Corey Coleman,WR46,117.0
Tyler Eifert,TE12,117.5
Devin Funchess,WR47,118.0
Tevin Coleman,RB41,118.0
Jay Ajayi,RB42,118.0
Vincent Jackson,WR48,118.5
Dwayne Allen,TE13,120.0
Kirk Cousins,QB13,120.5
Justin Forsett,RB43,122.0
Torrey Smith,WR49,123.3
Stephen Gostkowski,K1,124.8
Markus Wheaton,WR50,125.5
Darren Sproles,RB44,125.5
Tyrod Taylor,QB14,128.3
Jimmy Graham,TE14,129.5
Tajae Sharpe,WR51,129.5
James White,RB45,129.8
Jameis Winston,QB15,129.8
Matthew Stafford,QB16,130.0
Michael Thomas,WR52,132.0
Dion Lewis,RB46,134.5
Jason Witten,TE15,136.0
Mohamed Sanu Sr.,WR53,138.0
Eric Ebron,TE16,139.5
Jared Cook,TE17,141.0
Stephen Hauschka,K2,142.0
Spencer Ware,RB47,143.0
Shane Vereen,RB48,145.3
Phillip Dorsett II,WR54,146.5
Devontae Booker,RB49,147.5
