position,adp
TE,287.0
WR,388.5
TE,288.0
QB,289.0
RB,289.0
QB,290.0
QB,290.0
WR,291.0
QB,292.0
WR,293.0
QB,294.0
QB,294.0
WR,295.0
QB,296.0
WR,296.0
TE,297.0
WR,297.0
QB,298.0
WR,298.0
QB,299.0
RB,300.0
RB,301.0
TE,302.0
TE,303.0
QB,303.0
TE,304.0
WR,304.0
WR,305.0
TE,305.0
RB,305.0
WR,306.0
K,307.0
QB,307.0
RB,308.0
TE,308.0
WR,309.0
TE,309.0
TE,310.0
WR,311.0
TE,312.0
WR,312.0
WR,313.0
RB,314.0
TE,314.0
WR,316.0
QB,316.0
TE,317.0
TE,317.0
WR,318.0
WR,318.0
TE,319.0
QB,320.0
WR,321.0
QB,322.0
RB,323.0
QB,324.0
RB,325.0
K,326.0
TE,327.0
QB,329.0
WR,330.0
TE,331.0
K,332.0
QB,333.0
WR,334.0
WR,335.0
TE,336.0
TE,337.0
WR,338.0
QB,339.0
TE,341.0
K,342.0
RB,344.0
RB,345.0
QB,346.0
TE,347.0
QB,348.0
TE,349.0
WR,350.0
TE,351.0
TE,351.5
WR,352.0
WR,353.0
TE,355.0
WR,356.0
TE,357.0
TE,357.0
WR,358.0
RB,359.0
RB,360.0
TE,361.0
TE,362.0
TE,363.0
WR,365.0
RB,366.0
RB,367.0
QB,369.0
RB,370.0
WR,371.0
RB,372.0
TE,373.0
QB,374.0
WR,375.0
WR,376.0
WR,377.0
TE,378.0
RB,379.0
TE,380.0
WR,381.0
WR,382.0
QB,383.0
WR,384.0
RB,384.0
QB,385.0
WR,386.0
WR,387.0
QB,388.0
WR,389.0
WR,390.0
RB,391.0
WR,392.0
WR,393.0
QB,394.0
QB,395.0
QB,396.0
WR,397.0
RB,398.0
RB,400.0
WR,402.0
QB,404.0
QB,405.0
TE,406.0
RB,407.0
RB,408.0
WR,409.0
WR,410.0
RB,411.0
QB,412.0
K,413.0
WR,415.0
QB,416.0
TE,417.0
RB,418.0
QB,419.0
WR,420.0
WR,421.0
WR,422.0
RB,423.0
WR,424.0
QB,425.0
K,426.0
WR,427.0
QB,428.0
TE,429.0
RB,430.0
TE,431.0
WR,432.0
RB,433.0
TE,434.0
WR,435.0
TE,436.0
K,437.0
RB,438.0
TE,439.0
RB,440.0
TE,441.0
WR,442.0
WR,444.0
TE,445.0
WR,446.0
WR,447.0
TE,448.0
LB,449.0
WR,450.0
QB,451.0
QB,452.0
WR,454.0
QB,455.0
WR,456.0
WR,457.0
WR,458.0
QB,459.0
WR,460.0
QB,461.0
WR,462.0
WR,463.0
WR,464.0
TE,465.0
RB,466.0
WR,467.0
TE,468.0
WR,469.0
WR,471.0
QB,472.0
WR,473.0
K,475.0
TE,476.0
QB,477.0
TE,478.0
TE,479.0
RB,480.0
TE,481.0
QB,482.0
QB,483.0
TE,484.0
WR,485.0
WR,486.0
K,487.0
WR,488.0
WR,489.0
QB,491.0
RB,492.0
WR,493.0
WR,494.0
WR,495.0
RB,496.0
RB,497.0
QB,498.0
TE,499.0
WR,500.0
