name,position,adp
Cairo Santos,K9,189.7
Los Angeles Rams DST,DST12,190.0
Breshad Perriman,WR69,192.0
Jay Cutler,QB22,192.7
Baltimore Ravens DST,DST13,193.0
Dion Lewis,RB61,193.0
Philadelphia Eagles DST,DST14,194.7
DeAndre Washington,RB62,195.3
J.J. Nelson,WR70,196.3
James Conner,RB63,196.3
Atlanta Falcons DST,DST15,197.0
Charcandrick West,RB64,218.8
Sebastian Janikowski,K10,198.0
Sam Bradford,QB23,198.0
Dustin Hopkins,K11,198.7
Malcolm Mitchell,WR71,201.0
C.J. Fiedorowicz,TE23,203.7
David Njoku,TE24,204.0
Brandon LaFell,WR72,204.7
Allen Hurns,WR73,205.7
Devin Funchess,WR74,207.0
Julian Edelman,WR75,212.0
Jonathan Williams,RB65,171.5
Spencer Ware,RB66,217.0
Jalen Richard,RB67,210.3
Deshaun Watson,QB24,210.7
Joe Williams,RB68,174.5
Robert Woods,WR76,211.0
Chris Carson,RB69,211.7
Cincinnati Bengals DST,DST16,213.7
T.J. Yeldon,RB70,214.7
Cameron Meredith,WR77,224.5
Los Angeles Chargers DST,DST17,216.3
Blair Walsh,K12,216.3
De'Angelo Henderson Sr.,RB71,218.0
ArDarius Stewart,WR78,218.3
Chris Boswell,K13,218.3
Mike Williams,WR79,218.7
Devontae Booker,RB72,225.3
Tavon Austin,WR80,225.7
Graham Gano,K14,197.0
Jesse James,TE25,197.5
Tarik Cohen,RB73,226.3
William Fuller V,WR81,226.7
Matt Breida,RB74,228.7
Jaron Brown,WR82,229.7
Branden Oliver,RB75,230.3
Curtis Samuel,WR83,230.3
Charles Clay,TE26,234.7
Austin Seferian-Jenkins,TE27,230.7
Paul Richardson Jr.,WR84,230.7
Chris Conley,WR85,231.0
Stephen Hauschka,K15,207.0
Kenyan Drake,RB76,207.0
Alex Smith,QB25,234.0
Kyle Juszczyk,RB77,234.0
Caleb Sturgis,K16,236.0
Zach Zenner,RB78,214.5
Dwayne Allen,TE28,239.0
Brandon McManus,K17,217.5
Chris Ivory,RB79,218.5
Jimmy Garoppolo,QB26,219.0
Kerwynn Williams,RB80,222.5
Robert Turbin,RB81,245.3
Vance McDonald,TE29,258.3
Nelson Agholor,WR86,245.3
Blake Bortles,QB27,251.7
Chris Godwin,WR87,229.0
Mitchell Trubisky,QB28,230.0
Harrison Butker,K18,179.0
Dede Westbrook,WR88,232.5
Tyler Higbee,TE30,233.0
Brian Hoyer,QB29,258.7
