name,position,adp
Christian McCaffrey,RB1,1.0
Dalvin Cook,RB2,2.0
Alvin Kamara,RB3,3.0
Derrick Henry,RB4,4.0
Ezekiel Elliott,RB5,5.8
Davante Adams,WR1,6.6
Travis Kelce,TE1,8.4
Aaron Jones,RB6,9.4
Saquon Barkley,RB7,9.6
Austin Ekeler,RB8,10.4
Jonathan Taylor,RB9,10.4
Nick Chubb,RB10,10.4
Tyreek Hill,WR2,10.6
Stefon Diggs,WR3,14.0
Najee Harris,RB11,15.6
DeAndre Hopkins,WR4,17.2
Antonio Gibson,RB12,17.6
Patrick Mahomes II,QB1,18.2
Calvin Ridley,WR5,18.4
DK Metcalf,WR6,18.8
Joe Mixon,RB13,20.8
Darren Waller,TE2,22.4
Justin Jefferson,WR7,23.4
A.J. Brown,WR8,23.8
Clyde Edwards-Helaire,RB14,24.2
George Kittle,TE3,26.8
Keenan Allen,WR9,27.4
Terry McLaurin,WR10,29.6
Josh Allen,QB2,30.0
David Montgomery,RB15,30.2
Allen Robinson II,WR11,32.0
Chris Carson,RB16,32.4
CeeDee Lamb,WR12,32.8
James Robinson,RB17,33.4
Mike Evans,WR13,35.4
Josh Jacobs,RB18,36.4
D'Andre Swift,RB19,36.8
Miles Sanders,RB20,38.2
Robert Woods,WR14,38.4
Kyler Murray,QB3,40.2
Amari Cooper,WR15,41.2
Chris Godwin,WR16,42.4
Lamar Jackson,QB4,44.8
Cooper Kupp,WR17,46.0
Julio Jones,WR18,46.2
Kyle Pitts,TE4,47.0
Tyler Lockett,WR19,49.2
Myles Gaskin,RB21,49.8
Mark Andrews,TE5,50.6
Adam Thielen,WR20,50.6
Diontae Johnson,WR21,51.8
DJ Moore,WR22,53.4
Aaron Rodgers,QB5,54.4
Russell Wilson,QB6,55.6
Dak Prescott,QB7,56.0
Mike Davis,RB22,56.8
Kareem Hunt,RB23,57.2
T.J. Hockenson,TE6,58.2
Darrell Henderson Jr.,RB24,60.0
Javonte Williams,RB25,60.6
Brandon Aiyuk,WR23,60.8
Chase Edmonds,RB26,62.0
Justin Herbert,QB8,62.2
Tee Higgins,WR24,64.8
Gus Edwards,RB27,65.2
Odell Beckham Jr.,WR25,67.8
Raheem Mostert,RB28,68.8
Chase Claypool,WR26,69.2
JuJu Smith-Schuster,WR27,70.8
Tom Brady,QB9,71.8
Damien Harris,RB29,72.0
Jerry Jeudy,WR28,72.4
Ja'Marr Chase,WR29,74.4
Kenny Golladay,WR30,74.8
DeVonta Smith,WR31,77.0
Robbie Chosen,WR32,77.4
Michael Thomas,WR33,79.2
Courtland Sutton,WR34,79.6
Melvin Gordon III,RB30,79.6
Logan Thomas,TE7,81.2
Noah Fant,TE8,84.2
Leonard Fournette,RB31,86.4
Trey Sermon,RB32,87.2
Deebo Samuel Sr.,WR35,88.0
Matthew Stafford,QB10,88.2
Robert Tonyan,TE9,88.4
Tyler Boyd,WR36,91.2
Ronald Jones II,RB33,91.8
Laviska Shenault Jr.,WR37,91.8
Brandin Cooks,WR38,92.8
Michael Carter,RB34,93.4
Ryan Tannehill,QB11,93.4
Antonio Brown,WR39,94.6
Corey Davis,WR40,95.6
Jalen Hurts,QB12,97.0
Dallas Goedert,TE10,99.2
James Conner,RB35,100.8
DJ Chark Jr.,WR41,102.0
Jarvis Landry,WR42,103.4
Tampa Bay Buccaneers DST,DST1,105.4
AJ Dillon,RB36,105.8
Michael Pittman Jr.,WR43,106.4
Kenyan Drake,RB37,106.4
Zack Moss,RB38,106.6
Jaylen Waddle,WR44,107.4
Los Angeles Rams DST,DST2,107.8
William Fuller V,WR45,109.8
Mike Gesicki,TE11,109.8
Pittsburgh Steelers DST,DST3,111.2
Joe Burrow,QB13,111.2
Tyler Higbee,TE12,112.0
Devin Singletary,RB39,112.4
Jamaal Williams,RB40,116.4
Sony Michel,RB41,117.8
Michael Gallup,WR46,118.0
Curtis Samuel,WR47,118.2
Washington Commanders DST,DST4,120.0
Marvin Jones Jr.,WR48,122.4
Marquez Callaway,WR49,123.0
Mike Williams,WR50,123.0
Jonnu Smith,TE13,123.0
Hollywood Brown,WR51,123.2
Baltimore Ravens DST,DST5,123.8
Nyheim Hines,RB42,124.0
Rob Gronkowski,TE14,125.6
Harrison Butker,K1,127.8
Justin Tucker,K2,127.8
Trevor Lawrence,QB14,128.0
Darnell Mooney,WR52,128.6
Henry Ruggs III,WR53,129.0
David Johnson,RB43,129.8
Tony Pollard,RB44,132.6
Mecole Hardman Jr.,WR54,132.8
DeVante Parker,WR55,134.2
San Francisco 49ers DST,DST6,136.8
Baker Mayfield,QB15,138.6
Buffalo Bills DST,DST7,139.0
J.D. McKissic,RB45,139.8
Justin Fields,QB16,140.8
Matt Ryan,QB17,141.8
Younghoe Koo,K3,143.2
Cole Beasley,WR56,143.8
Jakobi Meyers,WR57,145.0
Elijah Moore,WR58,145.6
Phillip Lindsay,RB46,146.2
Russell Gage,WR59,148.8
Trey Lance,QB18,149.0
James White,RB47,151.8
Indianapolis Colts DST,DST8,151.8
Hunter Henry,TE15,153.2
Alexander Mattison,RB48,154.2
Tyler Bass,K4,155.0
Kirk Cousins,QB19,157.8
Tua Tagovailoa,QB20,158.6
New England Patriots DST,DST9,158.8
Evan Engram,TE16,159.8
Denver Broncos DST,DST10,163.2
Jason Sanders,K5,163.4
Ben Roethlisberger,QB21,165.0
Zach Ertz,TE17,165.2
Jared Cook,TE18,165.4
Ryan Succop,K6,165.8
Tevin Coleman,RB49,167.8
Jameis Winston,QB22,168.2
Rhamondre Stevenson,RB50,169.0
Sterling Shepard,WR60,172.4
Austin Hooper,TE19,174.2
Cleveland Browns DST,DST11,174.4
Giovani Bernard,RB51,174.4
Nelson Agholor,WR61,176.2
Chuba Hubbard,RB52,176.6
Mac Jones,QB23,177.0
Rondale Moore,WR62,177.0
Rodrigo Blankenship,K7,177.6
Greg Zuerlein,K8,177.6
Kenneth Gainwell,RB53,177.8
Gerald Everett,TE20,179.6
Ryan Fitzpatrick,QB24,182.8
Daniel Carlson,K9,183.6
Kansas City Chiefs DST,DST12,186.4
Derek Carr,QB25,186.4
Jalen Reagor,WR63,187.4
Cole Kmet,TE21,187.4
Tyrell Williams,WR64,188.4
New Orleans Saints DST,DST13,189.2
Rashaad Penny,RB54,190.6
Terrace Marshall Jr.,WR65,191.0
Miami Dolphins DST,DST14,191.6
Zach Wilson,QB26,192.4
Jason Myers,K10,193.4
Latavius Murray,RB55,194.2
Mason Crosby,K11,195.0
Emmanuel Sanders,WR66,195.4
A.J. Green,WR67,197.0
Ty'Son Williams,RB56,198.6
Randall Cobb,WR68,199.6
Gabe Davis,WR69,204.6
Matt Prater,K12,207.2
Daniel Jones,QB27,207.2
Green Bay Packers DST,DST15,207.4
Bryan Edwards,WR70,207.4
Matt Gay,K13,209.0
Deshaun Watson,QB28,209.2
Pat Freiermuth,TE22,210.4
Sam Darnold,QB29,212.0
Darrel Williams,RB57,213.2
Anthony Firkser,TE23,215.4
Brandon McManus,K14,195.5
Eric Ebron,TE24,217.2
Blake Jarwin,TE25,219.0
Amon-Ra St. Brown,WR71,198.5
Mark Ingram II,RB58,221.6
Seattle Seahawks DST,DST16,222.6
Parris Campbell,WR72,223.6
Tarik Cohen,RB59,206.5
Tony Jones Jr.,RB60,207.0
Chicago Bears DST,DST17,226.4
Adam Trautman,TE26,207.5
Robbie Gould,K15,227.8
Christian Kirk,WR73,209.3
Jamison Crowder,WR74,228.2
Ty Johnson,RB61,210.5
T.Y. Hilton,WR75,210.5
Damien Williams,RB62,211.5
Tennessee Titans DST,DST18,230.4
Minnesota Vikings DST,DST19,232.4
Carson Wentz,QB30,231.8
Rashod Bateman,WR76,214.3
Tre'Quan Smith,WR77,215.8
Malcolm Brown,RB63,218.3
Marlon Mack,RB64,223.5
Graham Gano,K16,229.5
Devontae Booker,RB65,200.0
Arizona Cardinals DST,DST20,227.0
Allen Lazard,WR78,227.8
Wil Lutz,K17,204.3
Los Angeles Chargers DST,DST21,245.6
Marquez Valdes-Scantling,WR79,230.0
Carolina Panthers DST,DST22,245.8
Le'Veon Bell,RB66,232.3
Cam Newton,QB31,234.8
Chris Boswell,K18,239.5
Jerick McKinnon,RB67,235.5
Sammy Watkins,WR80,236.0
Jared Goff,QB32,238.0
Boston Scott,RB68,238.8
Cam Akers,RB69,271.7
O.J. Howard,TE27,254.8
Kadarius Toney,WR81,243.8
Todd Gurley II,RB70,225.3
Teddy Bridgewater,QB33,248.8
Evan McPherson,K19,248.8
Carlos Hyde,RB71,249.5
Amari Rodgers,WR82,259.5
Darrynton Evans,RB72,238.0
Nico Collins,WR83,241.0
Tim Tebow,TE28,244.3
Benny Snell Jr.,RB73,244.7
Dallas Cowboys DST,DST23,245.7
Joshua Palmer,WR84,246.0
Hayden Hurst,TE29,246.7
Hunter Renfrow,WR85,260.8
Taysom Hill,TE30,247.0
Cordarrelle Patterson,RB74,248.3
Josh Lambo,K20,273.5
Salvon Ahmed,RB75,250.3
J.J. Taylor,RB76,251.3
Justin Jackson,RB77,235.0
Cairo Santos,K21,249.5
Jimmy Graham,TE31,260.3
Donovan Peoples-Jones,WR86,271.3
Jimmy Garoppolo,QB34,262.3
Jordan Akins,TE32,186.0
John Brown,WR87,273.7
New York Giants DST,DST24,272.3
Dustin Hopkins,K22,286.3
Giovanni Ricci,TE33,200.0
Dalton Schultz,TE34,269.0
Wayne Gallman Jr.,RB78,252.5
Jeff Wilson Jr.,RB79,252.5
Javian Hawkins,RB80,253.5
Austin Seibert,K23,211.0
Chase McLaughlin,K24,284.0
Juwan Johnson,TE35,259.0
Dawson Knox,TE36,274.0
Michael Badgley,K25,280.5
Philadelphia Eagles DST,DST25,289.0
Elijah Mitchell,RB81,219.0
Denzel Mims,WR88,261.5
Ka'imi Fairbairn,K26,281.5
Tyler Kroft,TE37,265.0
Sam Ficken,K27,229.0
Byron Pringle,WR89,267.0
Jake Elliott,K28,286.0
Jacksonville Jaguars DST,DST26,291.0
DeSean Jackson,WR90,280.3
Anthony McFarland Jr.,RB82,236.0
Andy Dalton,QB35,238.0
Joshua Kelley,RB83,270.5
Dan Arnold,TE38,270.5
Larry Rountree III,RB84,271.0
Jake Funk,RB85,240.0
Xavier Jones,RB86,347.0
Las Vegas Raiders DST,DST27,243.0
Royce Freeman,RB87,244.0
Detrez Newsome,RB88,248.0
Stephen Gostkowski,K29,249.0
Paul McRoberts,WR91,250.0
Jonathan Brown,K30,251.0
Jaret Patterson,RB89,277.0
Nick Folk,K31,295.0
Nick Tiano,QB36,253.0
Joey Slye,K32,300.0
Demarcus Robinson,WR92,278.5
La'Mical Perine,RB90,255.0
Kent Taylor,TE39,256.0
Anthony Miller,WR93,279.5
Stevan Ridley,RB91,257.0
Breshad Perriman,WR94,257.0
KJ Hamler,WR95,288.7
Austin MacGinnis,K33,259.0
Juwan Green,WR96,259.0
Van Jefferson,WR97,294.0
Donald Parham Jr.,TE40,312.5
Taywan Taylor,WR98,262.0
Samaje Perine,RB92,282.5
Tyler Davis,WR99,263.0
David Njoku,TE41,324.0
Josh Hammond,WR100,266.0
Austin Traylor,TE42,267.0
Brian Hill,RB93,267.0
Larry Fitzgerald,WR101,268.0
Jarvion Franklin,RB94,268.0
Manasseh Bailey,WR102,269.0
Chris Herndon IV,TE43,292.0
Alex Collins,RB95,270.0
Quinton Flowers,QB37,270.0
Darius Slayton,WR103,286.5
Darrin Hall,RB96,271.0
Mekhi Sargent,RB97,271.0
Josh Adams,RB98,272.0
Pooka Williams Jr.,RB99,272.0
Kyle Juszczyk,RB100,353.5
Qadree Ollison,RB101,273.0
Phillip Andersen,K34,273.0
Jamal Robinson,WR104,274.0
Mike White,QB38,275.0
Jeremy Kerley,WR105,276.0
Tyrod Taylor,QB39,289.5
Dalton Crossan,RB102,277.0
Keke Coutee,WR106,277.0
JaMycal Hasty,RB103,277.0
Ralph Webb,RB104,278.0
Mike Boone,RB105,278.0
Taylor Russolino,K35,279.0
Quez Watkins,WR107,291.0
Detroit Lions DST,DST28,321.0
Brandon Wilds,RB106,280.0
Chris Evans,RB107,297.0
Daniel Crawford,TE44,281.0
Tyler Conklin,TE45,339.5
Josh Reynolds,WR108,302.5
Atlanta Falcons DST,DST29,314.0
Randy Bullock,K36,326.5
Dyami Brown,WR109,304.0
Scotty Miller,WR110,296.0
Adrian Peterson,RB108,349.5
Cincinnati Bengals DST,DST30,290.0
C.J. Uzomah,TE46,308.0
Mo Alie-Cox,TE47,291.0
Kendrick Bourne,WR111,320.5
Houston Texans DST,DST31,326.0
Trace McSorley,QB40,292.0
New York Jets DST,DST32,316.5
Drew Lock,QB41,296.0
Rashard Higgins,WR112,313.5
Jalen Richard,RB109,297.0
Eno Benjamin,RB110,299.0
Cody Parkey,K37,316.0
Jack Doyle,TE48,344.5
Travis Fulgham,WR113,302.0
Olamide Zaccheaus,WR114,307.0
Quintez Cephus,WR115,308.0
Adam Humphries,WR116,309.0
Dee Eskridge,WR117,311.0
Ke'Shawn Vaughn,RB111,313.0
Tim Patrick,WR118,317.0
Kalen Ballage,RB112,318.0
Chris Conley,WR119,319.0
De'Angelo Henderson Sr.,RB113,322.0
Deonte Harty,WR120,325.0
David Moore,WR121,329.0
Kerryon Johnson,RB114,334.0
D'Onta Foreman,RB115,335.0
Ito Smith,RB116,337.0
Zach Pascal,WR122,341.0
Ameer Abdullah,RB117,343.0
Devin Funchess,WR123,349.0
Keelan Cole Sr.,WR124,351.0
Marquise Goodwin,WR125,352.0
Jonathan Williams,RB118,353.0
Terry Godwin,WR126,354.0
Stephen Anderson,TE49,355.0
Case Cookus,QB42,358.0
Marcus Mariota,QB43,359.0
Matt Breida,RB119,360.0
Tylan Wallace,WR127,362.0
Antonio Gandy-Golden,WR128,365.0
James Washington,WR129,366.0
N'Keal Harry,WR130,368.0
Tucker McCann,K38,369.0
Tutu Atwell,WR131,371.0
Preston Williams,WR132,372.0
Jalen Guyton,WR133,373.0
Mohamed Sanu Sr.,WR134,374.0
Cam Sims,WR135,375.0
Shi Smith,WR136,376.0
Damiere Byrd,WR137,377.0
Mitchell Trubisky,QB44,378.0
Albert Wilson,WR138,379.0
Sam Ehlinger,QB45,380.0
Anthony Schwartz,WR139,381.0
Antonio Williams,RB120,384.0
Tyler Johnson,WR140,385.0
Antonio Callaway,WR141,386.0
Dez Fitzpatrick,WR142,387.0
Jordan Love,QB46,388.0
Foster Moreau,TE50,389.0
Ty Montgomery II,RB121,391.0
James O'Shaughnessy,TE51,392.0
Tyron Billy-Johnson,WR143,393.0
Matt Ammendola,K39,394.0
Jacob Eason,QB47,395.0
Jermar Jefferson,RB122,396.0
Jaylen Samuels,RB123,397.0
Colin Kaepernick,QB48,399.0
Ryan Santoso,K40,400.0
Johnny Manziel,QB49,401.0
Albert Okwuegbunam Jr.,TE52,402.0
Ray Rice,RB124,403.0
Kylin Hill,RB125,404.0
Greg Ward,WR144,405.0
Easop Winston Jr.,WR145,406.0
Mike Strachan,WR146,407.0
Devin Smith,WR147,408.0
Riley Ridley,WR148,409.0
Aldrick Rosas,K41,411.0
Dazz Newsome,WR149,412.0
