position,adp
WR,343.0
WR,343.0
TE,346.0
RB,348.0
WR,363.0
RB,350.0
DST,351.0
WR,352.0
WR,353.0
WR,353.0
TE,356.0
TE,357.0
TE,368.0
WR,359.0
WR,360.0
WR,386.0
RB,362.0
TE,377.0
TE,365.0
WR,367.0
QB,374.0
TE,382.5
K,377.0
TE,402.5
QB,378.0
RB,380.0
K,381.0
RB,382.0
TE,383.0
RB,385.0
TE,386.0
TE,387.0
WR,388.0
TE,392.0
K,394.0
WR,395.0
TE,396.0
WR,398.0
QB,399.0
WR,400.0
QB,401.0
QB,402.0
QB,403.0
QB,404.0
QB,405.0
QB,406.0
QB,407.0
QB,408.0
QB,410.0
K,411.0
K,413.0
K,415.0
TE,416.0
TE,417.0
K,418.0
K,419.0
WR,420.0
WR,421.0
WR,423.0
QB,424.0
TE,425.0
TE,426.0
TE,427.0
RB,430.0
TE,431.0
TE,432.0
RB,433.0
RB,435.0
WR,436.0
WR,437.0
WR,438.0
